見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
創業セミナー,創業支援の専門家による講演やパネルディスカッション、交流会など,,,6月3日（日）13:30～15:40（交流会は16:30まで,和歌山大学システム工学部（和歌山市）,これから創業される方や創業して間もない方 ,80人（先着順）,,,,ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を県庁企業振興課 ファックス073-424-1199Eメール　e061000e1@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/061000/homepage/wakayamadesougyo.html,,e061000e1@pref.wakayama.lg.jp,
和歌浦漁港朝市（おっとっと広場）,鮮魚販売、わかしらす直売、マグロの解体即売、露店、もちまき,,,5月12日（土）10:00～14:00,和歌浦漁港内（和歌山市）,,,,,ベイサイド和歌浦 電話073-446-3308,,,,,,,,
県男女共同参画審議会委員,業務内容：男女共同参画に関する会議等への出席（年2回程度）任期：2年（8月～平成32年7月）,,,,,平成30年4月1日現在、満20歳以上で県内在住・在勤・在学の方※国または地方公共団体の議員や職員、過去に委員であった方などは除く ,2人（選考）,,,,郵送、Eメールで所定の申込書（申込先、振興局総務県民課、市町村、WEBサイトなどで配布）に小論文（タイトル｢私が考える男女共同参画社会｣800字以内）を添えて、5月31日（当日消印有効）までに県庁青少年・男女共同参画課 Eメール　e0314001@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/031400/danjo/shingikai/index.html,,e0314001@pref.wakayama.lg.jp,
県立医科大学事務職採用説明会,,,,5月26日（土）13:00～15:30,県立医科大学（和歌山市）,,150人（先着順）,,,,ファックス、Eメールで住所、氏名、年齢、電話番号を5月23日までに県立医科大学総務課〒641-8509和歌山市紀三井寺811-1ファックス073-441-0713Eメール　soumuka@wakayama-med.ac.jp,,,,http://www.wakayama-med.ac.jp/,,soumuka@wakayama-med.ac.jp,
国際交流フェスティバル,～地域で暮らす外国人との出会いと発見～,,,5月20日（日）11:00～16:00,和歌山ビッグ愛（和歌山市）,,,,,県国際交流協会  電話073-435-5240,,,,,http://www.wak-kokusai.jp/,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月6～12日は看護週間,1日まちの保健室 ,健康チェックや健康相談など,5月6・12・19日,県内9カ所で随時開催,,,,,県ナースセンター〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266Eメール　wakayama@nurse-center.net※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月6～12日は看護週間,ふれあい看護体験,看護師業務の体験,7月25日～8月9日,県内60病院など,高校生以上,481人（選考）,,高校生は学校を通じて、高校生以外は郵送で住所、氏名（ふりがな）、年齢、電話番号、希望病院（2カ所）、服のサイズ、参加動機、82円切手を5月7～14日に問合先,県ナースセンター〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266Eメール　wakayama@nurse-center.net※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月6～12日は看護週間,ナースディフェスタ和歌山,講師：Ｗマコト氏（元吉本芸人、放送作家）,5月6日（日）13:00～14:30,県看護研修センター（海南市）,,100人（先着順）,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を5月5日までに問合先,県ナースセンター〒642-0017海南市南赤坂17電話073-483-0234　ファックス073-483-1266Eメール　wakayama@nurse-center.net※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
紀の川河川愛護モニター,"7月1日から1年間、河川の状況を月1回以上報告する方を募集謝礼：月額4,580円（予定）",,,,,20歳以上で紀の川からおおむね5km以内に在住の方,若干名（選考）,,,,郵送、Eメールで住所、氏名、年齢（生年月日）、電話番号、職業、希望する活動範囲、応募理由、モニターになった場合の活動内容、過去のモニター経験についてを6月1日までに和歌山河川国道事務所〒640-8227和歌山市西汀丁16 電話073-402-0267Eメール　kkr-kq-kakan02@mlit.go.jp,,,,https://www.kkr.mlit.go.jp/wakayama/,,mailto:kkr-kq-kakan02@mlit.go.jp,
大学生等進学給付金,平成31年度入学予定の給付希望者を募集給付金額：60万円/年（4年間総額240万円）,,,,,保護者（親権者）の市町村民税所得割が非課税、県内へのUターン志望者であるなど※詳しくは要問合せ,40人（選考）,,所定の申込書（申込先で配布）を5月31日までに在学校,県教育庁生涯学習課県ウェブサイトでも掲載,,,,,https://www.pref.wakayama.lg.jp/kyouiku/soshiki/500600/index.html,,,
休日エイズ・梅毒即日検査,エイズ・梅毒即日検査を実施（プライバシー厳守、無料）,,,6月3日（日）13:00～16:00,(1)岩出保健所(2)田辺保健所 ,Q,各10人（先着順）,,,,電話で6月1日までに会場（匿名）(1)電話0736-61-0023(2)電話0739-26-7933,,,,,,,
要約筆記者養成講座 パソコンコース,要約筆記を行うための知識・技術を習得,,,6月3日～平成31年1月27日の日曜全22回,和歌山市ふれ愛センター,要約筆記の学習が初めてでインターネット環境のある方,15人（抽選）,"3,600円（テキスト代）",,,郵送、電話、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を5月24日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階電話073-421-6311 ファックス073-421-6411Eメール　w-mikan@nifty.com,,,,http://wakayama-tyoukaku.la.coocan.jp/,,,
犯罪被害者支援,被害者支援無料相談,,,(1)5月12日 田辺市民総合センター(2)26日  いずれも土曜 10:00～16:00,(1) 田辺市民総合センター [相談電話]0739-81-3050(2)橋本市教育文化会館[相談電話]0736-39-5035 ,,,,,,(1)電話で面接希望者は前日までに持参、郵送、Eメールで所定の申込書（申込先で配布）を5月31日までに紀の国被害者支援センター〒640-8249和歌山市雑賀屋町1 土地改良会館5階電話073-427-2100Eメール　kvscwakayama@mirror.ocn.ne.jp,,,,,,kvscwakayama@mirror.ocn.ne.jp,
犯罪被害者支援,被害者支援活動員養成講座,,,6月9・16・23･30日、7月7日 いずれも土曜,情報交流センターBig・U（田辺市）,,30人（選考）,"8,000円",,,持参、郵送、Eメールで所定の申込書（申込先で配布）を5月31日までに紀の国被害者支援センター〒640-8249和歌山市雑賀屋町1 土地改良会館5階電話073-427-2100Eメール　kvscwakayama@mirror.ocn.ne.jp,,,,,,kvscwakayama@mirror.ocn.ne.jp,
犯罪被害者支援,無料公開講座,,,6月9日（土） ,情報交流センターBig・U（田辺市）,,50人（先着順）,,,,持参、郵送、Eメールで所定の申込書（申込先で配布）を5月31日までに紀の国被害者支援センター〒640-8249和歌山市雑賀屋町1 土地改良会館5階電話073-427-2100Eメール　kvscwakayama@mirror.ocn.ne.jp,,,,,,kvscwakayama@mirror.ocn.ne.jp,
